Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,2,4,Some Random Commen with Id 0
1,0,7,36,8,Some Random Commen with Id 1
2,0,7,155,7,Some Random Commen with Id 2
3,1,7,58,1,Some Random Commen with Id 3
4,1,7,169,6,Some Random Commen with Id 4
5,1,7,109,7,Some Random Commen with Id 5
6,1,7,61,0,Some Random Commen with Id 6
7,1,7,156,2,Some Random Commen with Id 7
8,1,7,24,8,Some Random Commen with Id 8
9,1,7,26,2,Some Random Commen with Id 9
10,1,7,21,3,Some Random Commen with Id 10
11,1,7,49,4,Some Random Commen with Id 11
12,2,6,150,2,Some Random Commen with Id 12
13,2,6,151,5,Some Random Commen with Id 13
14,2,6,35,5,Some Random Commen with Id 14
15,3,5,51,7,Some Random Commen with Id 15
16,5,6,43,6,Some Random Commen with Id 16
17,5,6,136,1,Some Random Commen with Id 17
18,5,6,136,3,Some Random Commen with Id 18
19,5,6,118,7,Some Random Commen with Id 19
20,5,6,44,4,Some Random Commen with Id 20
21,5,6,13,7,Some Random Commen with Id 21
22,5,6,105,0,Some Random Commen with Id 22
23,5,6,128,3,Some Random Commen with Id 23
24,5,6,57,1,Some Random Commen with Id 24
25,6,4,156,0,Some Random Commen with Id 25
26,6,4,183,7,Some Random Commen with Id 26
27,6,4,52,7,Some Random Commen with Id 27
28,6,4,129,1,Some Random Commen with Id 28
29,7,1,32,5,Some Random Commen with Id 29
30,7,1,33,6,Some Random Commen with Id 30
31,7,1,11,0,Some Random Commen with Id 31
32,7,1,159,2,Some Random Commen with Id 32
33,7,1,108,3,Some Random Commen with Id 33
34,7,1,12,6,Some Random Commen with Id 34
35,7,1,128,3,Some Random Commen with Id 35
36,8,7,35,3,Some Random Commen with Id 36
37,8,7,22,8,Some Random Commen with Id 37
38,8,7,28,6,Some Random Commen with Id 38
39,8,7,95,0,Some Random Commen with Id 39
40,8,7,40,6,Some Random Commen with Id 40
41,8,7,96,8,Some Random Commen with Id 41
42,9,4,68,6,Some Random Commen with Id 42
43,9,4,192,1,Some Random Commen with Id 43
44,9,4,142,9,Some Random Commen with Id 44
45,9,4,73,5,Some Random Commen with Id 45
46,9,4,95,5,Some Random Commen with Id 46
47,9,4,50,4,Some Random Commen with Id 47
48,9,4,174,5,Some Random Commen with Id 48
49,9,4,144,9,Some Random Commen with Id 49
50,11,9,14,2,Some Random Commen with Id 50
51,11,9,193,3,Some Random Commen with Id 51
52,11,9,140,3,Some Random Commen with Id 52
53,11,9,163,5,Some Random Commen with Id 53
54,11,9,104,8,Some Random Commen with Id 54
55,12,5,82,7,Some Random Commen with Id 55
56,12,5,90,9,Some Random Commen with Id 56
57,12,5,16,5,Some Random Commen with Id 57
58,12,5,182,6,Some Random Commen with Id 58
59,12,5,27,9,Some Random Commen with Id 59
60,12,5,179,8,Some Random Commen with Id 60
61,12,5,36,9,Some Random Commen with Id 61
62,12,5,103,9,Some Random Commen with Id 62
63,12,5,32,9,Some Random Commen with Id 63
64,14,7,111,8,Some Random Commen with Id 64
65,14,7,32,6,Some Random Commen with Id 65
66,14,7,11,8,Some Random Commen with Id 66
67,15,7,130,1,Some Random Commen with Id 67
68,16,1,67,0,Some Random Commen with Id 68
69,17,2,110,2,Some Random Commen with Id 69
70,17,2,64,0,Some Random Commen with Id 70
71,17,2,28,8,Some Random Commen with Id 71
72,17,2,60,9,Some Random Commen with Id 72
73,17,2,195,9,Some Random Commen with Id 73
74,17,2,27,8,Some Random Commen with Id 74
75,17,2,82,8,Some Random Commen with Id 75
76,18,8,91,1,Some Random Commen with Id 76
77,18,8,119,1,Some Random Commen with Id 77
